Year,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Geo Biomass Other - TWh,Other renewables including bioenergy (TWh),Biofuels Production - TWh - Total
1990,0.37079495,2.8167677,292.2809,57.459316,57.459316,16.732742
1991,0.4782529,2.9807587,287.32602,60.55176,60.55176,19.388733
1992,0.40884447,2.9166899,251.42567,64.815414,64.815414,22.044724
1993,0.47516188,3.0361888,279.25095,66.92472,66.92472,25.833727
1994,0.5018728,3.4819283,259.3413,66.35486,66.35486,28.846283
1995,0.5144716,3.1962152,311.21982,63.26508,63.26508,30.384048
1996,0.54134125,3.2667363,347.54947,64.82596,64.82596,21.78628
1997,0.5326957,3.3212476,355.9731,65.82008,65.82008,28.832184
1998,0.52465934,3.0562587,322.08926,65.61713,65.61713,31.444319
1999,0.5183421,4.5333314,316.6052,66.47772,66.47772,32.786575
2000,0.51851267,5.649759,272.76135,66.582825,74.82,36.307648
2001,0.5743511,6.8053846,210.24,66.83044,64.64,39.801285
2002,0.6015976,10.458869,258.16757,71.78936,69.85,48.259228
2003,0.6106543,11.30047,269.97098,71.33214,70.19,63.254505
2004,0.69813246,14.286607,262.55466,71.94537,70.490005,77.1594
2005,0.74890065,17.990454,266.42773,72.59806,70.92,90.5215
2006,0.82443213,26.857714,285.544,73.08227,71.37,117.979416
2007,1.0954105,34.797905,243.04407,73.86955,72.240005,162.89944
2008,1.6330626,55.922325,251.05386,73.551476,72.35,231.80676
2009,2.0759604,74.632454,271.53308,73.15986,71.96,262.64377
2010,3.0130365,95.60833,257.2747,75.061844,73.92,309.5003
2011,4.738904,121.3905,316.09534,75.77516,74.81,345.2215
2012,9.037014,142.24414,274.03003,77.0361,75.88,330.10876
2013,16.039696,169.5351,266.54984,80.665535,79.62,344.545
2014,29.216162,183.49019,255.75058,84.07023,83.07,364.5882
2015,39.42626,192.645,246.45312,83.73627,82.75,375.11325
2016,55.4202,229.28542,263.76367,82.722565,81.92,399.23404
2017,78.05758,256.8714,296.80646,82.80032,81.770004,411.9172
2018,94.30808,275.42166,289.5146,81.8932,80.520004,424.44006
2019,107.97374,298.8712,285.46765,76.82054,75.38,412.82147
2020,132.04141,341.35156,282.7805,74.30732,72.79,374.58826
2021,165.35657,383.60327,257.6901,75.490265,72.49,398.84695
